iter	Passed	Remaining
0	19	25634
1	39	25380
2	57	25048
3	78	25285
4	99	25645
5	118	25611
6	138	25527
7	157	25404
8	177	25420
9	197	25539
10	219	25697
11	240	25778
12	260	25807
13	280	25793
14	303	26005
15	327	26272
16	349	26387
17	372	26538
18	393	26511
19	413	26474
20	434	26454
21	454	26374
22	474	26323
23	494	26267
24	514	26236
25	534	26184
26	554	26131
27	573	26070
28	593	26017
29	612	25932
30	631	25850
31	650	25782
32	670	25745
33	690	25715
34	710	25677
35	729	25607
36	748	25539
37	767	25477
38	786	25435
39	806	25412
40	826	25388
41	846	25351
42	866	25320
43	887	25320
44	907	25302
45	927	25290
46	947	25259
47	967	25238
48	987	25217
49	1006	25173
50	1027	25154
51	1046	25119
52	1065	25068
53	1084	25025
54	1104	24991
55	1123	24947
56	1141	24903
57	1162	24885
58	1181	24844
59	1201	24832
60	1221	24805
61	1240	24769
62	1253	24609
63	1270	24538
64	1289	24503
65	1309	24479
66	1328	24443
67	1348	24424
68	1366	24381
69	1386	24370
70	1406	24345
71	1426	24322
72	1446	24307
73	1465	24286
74	1485	24266
75	1505	24250
76	1525	24223
77	1545	24205
78	1564	24176
79	1582	24137
80	1601	24108
81	1620	24073
82	1640	24048
83	1658	24014
84	1677	23975
85	1697	23955
86	1716	23932
87	1735	23898
88	1754	23866
89	1772	23832
90	1791	23799
91	1810	23773
92	1829	23748
93	1848	23718
94	1868	23704
95	1887	23675
96	1906	23640
97	1925	23616
98	1944	23591
99	1964	23573
100	1984	23562
101	2003	23536
102	2023	23516
103	2042	23486
104	2061	23459
105	2080	23435
106	2100	23422
107	2121	23409
108	2139	23379
109	2158	23356
110	2178	23333
111	2197	23304
112	2216	23279
113	2236	23263
114	2256	23249
115	2276	23237
116	2296	23222
117	2315	23198
118	2335	23173
119	2354	23149
120	2373	23124
121	2392	23097
122	2411	23071
123	2429	23041
124	2448	23017
125	2467	22995
126	2486	22970
127	2505	22942
128	2524	22913
129	2543	22887
130	2562	22863
131	2581	22838
132	2599	22812
133	2618	22781
134	2636	22751
135	2655	22724
136	2674	22702
137	2693	22678
138	2712	22654
139	2730	22627
140	2750	22606
141	2769	22582
142	2788	22557
143	2807	22534
144	2825	22506
145	2844	22482
146	2863	22458
147	2881	22429
148	2899	22400
149	2918	22373
150	2936	22346
151	2955	22322
152	2974	22295
153	2992	22270
154	3010	22240
155	3029	22216
156	3047	22187
157	3065	22158
158	3084	22135
159	3103	22109
160	3122	22087
161	3140	22061
162	3158	22034
163	3176	22006
164	3195	21983
165	3214	21955
166	3232	21930
167	3252	21915
168	3272	21902
169	3292	21886
170	3311	21864
171	3330	21839
172	3348	21815
173	3367	21790
174	3386	21767
175	3405	21750
176	3425	21731
177	3445	21716
178	3464	21699
179	3484	21679
180	3503	21662
181	3522	21638
182	3541	21614
183	3560	21594
184	3578	21570
185	3598	21549
186	3615	21521
187	3634	21498
188	3652	21472
189	3670	21444
190	3689	21420
191	3707	21397
192	3726	21376
193	3746	21356
194	3764	21330
195	3782	21307
196	3802	21287
197	3820	21265
198	3839	21243
199	3858	21220
200	3877	21201
201	3896	21179
202	3915	21156
203	3933	21134
204	3952	21110
205	3970	21088
206	3989	21066
207	4007	21040
208	4026	21019
209	4045	20997
210	4064	20975
211	4083	20954
212	4101	20933
213	4120	20912
214	4139	20891
215	4158	20867
216	4176	20843
217	4195	20821
218	4213	20799
219	4233	20780
220	4252	20761
221	4270	20737
222	4289	20718
223	4308	20698
224	4328	20678
225	4346	20656
226	4365	20636
227	4384	20616
228	4404	20600
229	4423	20578
230	4442	20556
231	4461	20537
232	4479	20515
233	4498	20492
234	4516	20470
235	4535	20450
236	4555	20430
237	4573	20408
238	4592	20386
239	4610	20362
240	4628	20340
241	4647	20318
242	4665	20295
243	4684	20272
244	4702	20249
245	4720	20226
246	4739	20204
247	4757	20182
248	4776	20159
249	4795	20140
250	4814	20121
251	4832	20098
252	4851	20077
253	4869	20055
254	4888	20032
255	4906	20011
256	4925	19989
257	4944	19968
258	4962	19947
259	4981	19926
260	5001	19908
261	5019	19887
262	5038	19865
263	5056	19843
264	5075	19822
265	5093	19800
266	5112	19779
267	5131	19760
268	5150	19738
269	5168	19716
270	5186	19695
271	5205	19673
272	5223	19651
273	5242	19630
274	5261	19610
275	5280	19590
276	5298	19567
277	5317	19547
278	5335	19525
279	5353	19503
280	5373	19484
281	5392	19465
282	5411	19447
283	5430	19426
284	5448	19405
285	5467	19384
286	5485	19363
287	5504	19342
288	5523	19322
289	5541	19300
290	5560	19279
291	5578	19256
292	5597	19237
293	5616	19219
294	5636	19201
295	5655	19184
296	5673	19161
297	5691	19138
298	5710	19116
299	5728	19095
300	5747	19075
301	5765	19054
302	5784	19033
303	5802	19012
304	5821	18991
305	5840	18972
306	5859	18951
307	5878	18933
308	5897	18914
309	5916	18893
310	5935	18874
311	5954	18854
312	5972	18834
313	5991	18812
314	6009	18792
315	6028	18773
316	6047	18753
317	6066	18734
318	6086	18717
319	6105	18698
320	6124	18678
321	6143	18659
322	6162	18639
323	6181	18620
324	6200	18600
325	6219	18580
326	6237	18560
327	6256	18540
328	6275	18520
329	6293	18499
330	6312	18479
331	6331	18460
332	6350	18440
333	6368	18418
334	6387	18400
335	6407	18384
336	6427	18367
337	6446	18349
338	6466	18331
339	6486	18315
340	6506	18298
341	6526	18280
342	6546	18264
343	6565	18247
344	6585	18230
345	6605	18213
346	6625	18196
347	6645	18179
348	6665	18163
349	6685	18146
350	6705	18130
351	6725	18112
352	6745	18095
353	6764	18078
354	6784	18058
355	6803	18040
356	6822	18022
357	6842	18005
358	6862	17986
359	6880	17965
360	6899	17945
361	6917	17924
362	6936	17904
363	6954	17883
364	6973	17862
365	6992	17843
366	7010	17823
367	7030	17804
368	7048	17782
369	7066	17762
370	7085	17742
371	7103	17721
372	7122	17702
373	7141	17682
374	7160	17663
375	7180	17644
376	7198	17624
377	7218	17606
378	7236	17586
379	7255	17564
380	7273	17545
381	7293	17526
382	7311	17505
383	7329	17484
384	7349	17466
385	7367	17444
386	7385	17424
387	7404	17404
388	7423	17384
389	7441	17364
390	7460	17345
391	7479	17325
392	7498	17306
393	7517	17286
394	7535	17266
395	7554	17246
396	7573	17225
397	7591	17205
398	7610	17186
399	7629	17167
400	7648	17146
401	7666	17126
402	7686	17107
403	7704	17087
404	7723	17067
405	7741	17047
406	7760	17028
407	7779	17008
408	7798	16988
409	7817	16969
410	7836	16949
411	7854	16930
412	7873	16909
413	7891	16887
414	7909	16867
415	7928	16847
416	7947	16828
417	7965	16807
418	7983	16787
419	8002	16766
420	8021	16747
421	8040	16728
422	8058	16708
423	8077	16688
424	8096	16668
425	8114	16648
426	8133	16628
427	8152	16609
428	8170	16589
429	8190	16570
430	8208	16551
431	8227	16531
432	8246	16512
433	8265	16492
434	8284	16473
435	8302	16453
436	8321	16433
437	8340	16413
438	8358	16393
439	8377	16374
440	8396	16355
441	8415	16335
442	8434	16316
443	8453	16297
444	8473	16279
445	8492	16261
446	8512	16243
