feature,importance
pm25_lag_336,772
pm25_diff_168,773
pm25_roll_std_6,789
temperature_lag_24,854
pm25_lag_72,862
temperature,881
pm25_diff_48,956
pm25_roll_std_12,1182
wind_speed_lag_24,1202
wind_x_humidity,1316
wind_speed,1377
pm25_diff_24,1417
pm25,1444
temp_humidity,1627
pm25_roll_std_24,1826
pm25_roll_q75_24,1897
day_of_week,2038
week_of_year,2142
pm25_roll_min_24,2343
pm25_roll_mean_48,2369
pm25_roll_std_48,2563
pm25_roll_max_24,2582
pm25_roll_median_24,2583
temp_roll_std_24,2914
pm25_roll_max_48,3006
pm25_roll_min_48,3027
humid_roll_mean_24,3432
wind_roll_mean_24,3488
day_of_year_cos,4235
day_of_year_sin,4635
