,count,mean,min,25%,50%,75%,max,std
datetime,51842,2019-04-15 23:45:05.937270784,2016-03-04 02:00:00,2017-08-26 02:15:00,2019-05-14 17:30:00,2020-11-17 02:45:00,2022-06-01 01:00:00,
pm25,51842.0,88.18229378214566,0.0,32.0,61.0,124.0,438.4349999999977,77.36688298139184
temperature,51842.0,25.25545889433278,8.6,22.4,26.4,28.6,38.6,5.0337155350674925
humidity,51842.0,77.94035723930403,16.0,69.0,82.0,91.0,100.0,15.623137853325192
wind_speed,51842.0,9.238223833957024,0.0,6.0,8.1,11.7,38.2,4.75477048419923
rainfall,51842.0,0.21978704525288378,0.0,0.0,0.0,0.0,43.8,0.9164903291507345
hour,51842.0,11.496566490490336,0.0,5.0,11.0,17.0,23.0,6.922902647156251
day,51842.0,15.684734385247483,1.0,8.0,16.0,23.0,31.0,8.776650627785795
month,51842.0,6.336638246981212,1.0,3.0,6.0,9.0,12.0,3.4429464020441993
day_of_week,51842.0,2.989429420161259,0.0,1.0,3.0,5.0,6.0,1.9986502617555872
week_of_year,51842.0,25.750414721654256,1.0,13.0,25.0,39.0,53.0,15.037899316394638
is_weekend,51842.0,0.2832259557887427,0.0,0.0,0.0,1.0,1.0,0.4505695614993893
hour_sin,51842.0,0.00047197683511977946,-1.0,-0.7071067811865471,1.2246467991473532e-16,0.7071067811865475,1.0,0.7068151984003481
hour_cos,51842.0,4.26552796136977e-05,-1.0,-0.7071067811865479,6.123233995736766e-17,0.7071067811865476,1.0,0.7074117192099975
month_sin,51842.0,0.05739261214149043,-1.0,-0.5000000000000004,1.2246467991473532e-16,0.8660254037844386,1.0,0.6987539720383487
month_cos,51842.0,-0.021004016685665285,-1.0,-0.8660254037844387,-1.8369701987210294e-16,0.8660254037844384,1.0,0.7127601445212659
pm25_lag_1,51842.0,88.18132931318227,0.0,32.0,61.0,124.0,438.4349999999977,77.36669825150504
pm25_lag_3,51842.0,88.18084707870058,0.0,32.0,61.0,124.0,438.4349999999977,77.36602008078961
pm25_lag_6,51842.0,88.1835861705566,0.0,32.0,61.0,124.0,438.4349999999977,77.36586203596852
pm25_lag_12,51842.0,88.18443490324438,0.0,32.0,61.0,124.0,438.4349999999977,77.36569520892145
pm25_lag_24,51842.0,88.21919436468491,0.0,32.0,61.0,124.0,438.4349999999977,77.40693729203767
pm25_lag_48,51842.0,88.25736804625585,0.0,32.0,61.0,124.0,438.4349999999977,77.46202385588091
pm25_lag_72,51842.0,88.30057625581566,0.0,32.0,61.0,124.0,438.4349999999977,77.50487942790461
pm25_roll_mean_6,51842.0,88.18148362821641,0.25,34.833333333333336,62.5,125.72916666666667,438.4349999999977,71.68954290177307
pm25_roll_std_6,51842.0,22.022787106688806,0.0,7.556454194936686,14.743360087412157,27.90698837209522,233.21006718014192,23.0296359093459
pm25_roll_mean_12,51842.0,88.1826747473862,1.2083333333333333,36.135416666666664,63.91666666666666,128.5,438.4349999999977,67.85014937825024
pm25_roll_std_12,51842.0,29.206448457454528,0.0,11.540196546993045,21.176655958094386,38.45212981196348,217.3399667623788,25.582334359924168
pm25_roll_mean_24,51842.0,88.18857488626973,2.395833333333333,36.93689903846154,64.33333333333333,132.5,438.4349999999977,64.28615255867798
pm25_roll_std_24,51842.0,34.82147804344672,0.0,15.213635661774877,26.663903841001414,46.541336599718136,207.9481090607086,26.860390290390516
pm25_roll_mean_48,51842.0,88.21019667298062,4.760416666666667,37.770833333333336,63.98958333333333,133.60416666666666,438.4349999999977,62.48160559789261
pm25_roll_std_48,51842.0,37.9303349487815,0.0,17.68013921332687,30.567765665013752,51.99486557867168,204.4193704743249,26.311620981514956
temperature_lag_24,51842.0,25.254334323521473,8.6,22.4,26.4,28.6,38.6,5.0336060714666
humidity_lag_24,51842.0,77.93376027159447,16.0,69.0,82.0,91.0,100.0,15.62625695738503
wind_speed_lag_24,51842.0,9.236725049187918,0.0,6.0,8.1,11.7,38.2,4.755689884429477
rainfall_lag_24,51842.0,0.2197407507426411,0.0,0.0,0.0,0.0,43.8,0.9164776465938452
